,instance_folder,instance_id,noise_factor,sample,sample_durations,time_limit,solve_time,solver_status,obj_gap,obj_value
20,ubo100,3,0.5,0,"[0, 1, 9, 2, 6, 4, 6, 8, 8, 2, 1, 2, 5, 4, 4, 1, 4, 1, 2, 1, 5, 5, 9, 8, 1, 7, 2, 8, 7, 3, 7, 2, 1, 5, 1, 7, 6, 2, 1, 6, 3, 6, 5, 2, 1, 2, 6, 1, 9, 4, 2, 1, 1, 9, 2, 7, 1, 8, 1, 1, 1, 8, 7, 7, 8, 3, 1, 7, 9, 4, 3, 7, 5, 5, 7, 9, 1, 1, 5, 7, 10, 1, 4, 4, 1, 5, 4, 9, 1, 2, 1, 7, 1, 8, 4, 8, 8, 1, 8, 4, 1, 0]",600,0.004,Infeasible,,
21,ubo100,3,0.5,1,"[0, 1, 8, 2, 7, 5, 7, 7, 8, 2, 1, 2, 6, 5, 6, 1, 4, 1, 2, 1, 5, 5, 9, 8, 1, 8, 2, 6, 7, 4, 9, 2, 1, 5, 1, 5, 8, 2, 1, 7, 4, 5, 5, 2, 1, 2, 7, 1, 10, 3, 2, 1, 1, 7, 2, 7, 1, 7, 1, 1, 1, 8, 7, 6, 7, 4, 1, 7, 10, 4, 4, 8, 7, 5, 7, 8, 1, 1, 4, 7, 8, 1, 3, 3, 1, 4, 3, 9, 1, 2, 1, 6, 1, 8, 6, 7, 9, 1, 8, 4, 1, 0]",600,0.004,Infeasible,,
22,ubo100,3,0.5,2,"[0, 1, 9, 2, 7, 4, 7, 7, 8, 2, 1, 2, 5, 3, 5, 1, 5, 1, 2, 1, 5, 4, 8, 8, 1, 8, 2, 8, 6, 3, 9, 2, 1, 7, 1, 7, 6, 2, 1, 6, 3, 6, 7, 2, 1, 2, 7, 1, 8, 3, 2, 1, 1, 8, 2, 8, 1, 8, 1, 1, 1, 7, 8, 6, 9, 4, 1, 7, 9, 6, 4, 7, 5, 7, 6, 8, 1, 1, 4, 8, 9, 1, 4, 3, 1, 4, 4, 9, 1, 2, 1, 7, 1, 10, 5, 7, 8, 1, 8, 5, 1, 0]",600,0.004,Infeasible,,
23,ubo100,3,0.5,3,"[0, 1, 8, 2, 6, 5, 7, 8, 9, 2, 1, 2, 5, 4, 4, 1, 4, 1, 2, 1, 5, 4, 9, 7, 1, 8, 2, 6, 8, 4, 7, 2, 1, 5, 1, 7, 7, 2, 1, 5, 3, 6, 7, 2, 1, 2, 5, 1, 9, 4, 2, 1, 1, 8, 2, 8, 1, 7, 1, 1, 1, 9, 6, 6, 9, 3, 1, 7, 8, 6, 3, 8, 7, 5, 7, 7, 1, 1, 4, 7, 9, 1, 3, 4, 1, 4, 3, 8, 1, 2, 1, 6, 1, 9, 6, 7, 8, 1, 8, 6, 1, 0]",600,0.004,Infeasible,,
24,ubo100,3,0.5,4,"[0, 1, 10, 2, 8, 5, 7, 7, 10, 2, 1, 2, 5, 3, 4, 1, 3, 1, 2, 1, 6, 5, 10, 7, 1, 8, 2, 6, 8, 3, 9, 2, 1, 5, 1, 7, 8, 2, 1, 6, 3, 4, 5, 2, 1, 2, 5, 1, 10, 4, 2, 1, 1, 8, 2, 7, 1, 8, 1, 1, 1, 9, 7, 8, 8, 3, 1, 7, 10, 4, 3, 8, 7, 5, 7, 9, 1, 1, 4, 9, 8, 1, 4, 4, 1, 3, 3, 10, 1, 2, 1, 6, 1, 10, 5, 9, 8, 1, 6, 4, 1, 0]",600,0.004,Infeasible,,
25,ubo100,3,0.5,5,"[0, 1, 8, 2, 8, 6, 5, 9, 9, 2, 1, 2, 6, 4, 4, 1, 4, 1, 2, 1, 7, 4, 10, 8, 1, 8, 2, 6, 7, 3, 9, 2, 1, 5, 1, 5, 6, 2, 1, 7, 3, 5, 5, 2, 1, 2, 7, 1, 10, 4, 2, 1, 1, 7, 2, 8, 1, 7, 1, 1, 1, 9, 7, 8, 7, 4, 1, 7, 8, 5, 4, 8, 7, 5, 8, 7, 1, 1, 6, 7, 10, 1, 3, 3, 1, 5, 3, 10, 1, 2, 1, 6, 1, 9, 6, 8, 8, 1, 8, 6, 1, 0]",600,0.004,Infeasible,,
26,ubo100,3,0.5,6,"[0, 1, 10, 2, 6, 5, 7, 8, 9, 2, 1, 2, 6, 4, 4, 1, 4, 1, 2, 1, 7, 4, 8, 6, 1, 9, 2, 8, 7, 3, 7, 2, 1, 5, 1, 7, 8, 2, 1, 5, 4, 5, 6, 2, 1, 2, 7, 1, 9, 4, 2, 1, 1, 7, 2, 8, 1, 8, 1, 1, 1, 7, 6, 6, 9, 4, 1, 7, 9, 5, 3, 6, 5, 7, 7, 9, 1, 1, 6, 7, 9, 1, 4, 3, 1, 4, 3, 10, 1, 2, 1, 6, 1, 10, 6, 9, 10, 1, 6, 5, 1, 0]",600,0.004,Infeasible,,
27,ubo100,3,0.5,7,"[0, 1, 10, 2, 6, 4, 6, 8, 9, 2, 1, 2, 5, 5, 6, 1, 5, 1, 2, 1, 5, 5, 8, 6, 1, 9, 2, 7, 8, 3, 7, 2, 1, 7, 1, 6, 8, 2, 1, 5, 3, 4, 6, 2, 1, 2, 5, 1, 10, 3, 2, 1, 1, 9, 2, 8, 1, 8, 1, 1, 1, 9, 7, 6, 8, 4, 1, 7, 10, 6, 3, 8, 5, 5, 6, 9, 1, 1, 6, 7, 8, 1, 4, 3, 1, 4, 3, 9, 1, 2, 1, 8, 1, 8, 5, 8, 9, 1, 7, 5, 1, 0]",600,0.004,Infeasible,,
28,ubo100,3,0.5,8,"[0, 1, 10, 2, 8, 4, 6, 7, 10, 2, 1, 2, 7, 4, 5, 1, 5, 1, 2, 1, 5, 3, 9, 6, 1, 8, 2, 7, 6, 3, 7, 2, 1, 7, 1, 7, 6, 2, 1, 7, 3, 6, 5, 2, 1, 2, 5, 1, 8, 4, 2, 1, 1, 7, 2, 9, 1, 8, 1, 1, 1, 7, 8, 8, 8, 3, 1, 6, 8, 4, 3, 6, 7, 6, 7, 8, 1, 1, 4, 7, 10, 1, 3, 3, 1, 5, 3, 10, 1, 2, 1, 8, 1, 10, 4, 9, 9, 1, 8, 5, 1, 0]",600,0.004,Infeasible,,
29,ubo100,3,0.5,9,"[0, 1, 10, 2, 8, 5, 5, 7, 9, 2, 1, 2, 6, 5, 5, 1, 4, 1, 2, 1, 7, 4, 9, 8, 1, 9, 2, 7, 8, 4, 7, 2, 1, 5, 1, 6, 6, 2, 1, 6, 4, 6, 7, 2, 1, 2, 7, 1, 8, 3, 2, 1, 1, 9, 2, 7, 1, 8, 1, 1, 1, 8, 8, 6, 8, 3, 1, 6, 10, 5, 5, 6, 7, 5, 7, 7, 1, 1, 4, 7, 8, 1, 3, 3, 1, 3, 3, 10, 1, 2, 1, 7, 1, 9, 6, 7, 8, 1, 7, 6, 1, 0]",600,0.004,Infeasible,,
30,ubo100,4,0.5,0,"[0, 7, 1, 4, 5, 7, 7, 2, 7, 7, 2, 1, 7, 8, 4, 7, 6, 3, 8, 2, 10, 1, 6, 9, 8, 8, 6, 1, 5, 7, 6, 1, 1, 1, 1, 9, 3, 7, 1, 3, 7, 1, 5, 1, 1, 9, 1, 3, 3, 1, 1, 1, 5, 8, 4, 9, 6, 4, 8, 7, 8, 4, 4, 3, 4, 5, 5, 1, 3, 9, 9, 1, 2, 4, 2, 9, 8, 6, 8, 8, 3, 5, 6, 7, 4, 1, 1, 1, 2, 5, 8, 5, 3, 1, 7, 1, 6, 1, 6, 1, 1, 0]",600,600.002,Feasible,0.231707,328.0
