instance_folder,instance_id,noise_factor,method,time_limit,feasibility,obj,time_offline,time_online,start_times,real_durations,mode,obj_pi,time_limit_rescheduling,time_limit_initial,solver_calls,estimated_start_times,estimated_durations
j10,19,1,proactive_quantile_0.75,60.0,False,inf,0.040015220642089844,inf,"[0, 0, 0, 6, 0, 15, 10, 21, 2, 19, 15, 29]","[0, 5, 6, 3, 1, 3, 4, 9, 7, 2, 5, 0]",quantile_0.75,31.0,,,,,
j10,19,1,proactive_quantile_0.75,60.0,True,29.0,0.040015220642089844,0.00010585784912109375,"[0, 0, 0, 6, 0, 15, 10, 21, 2, 19, 15, 29]","[0, 3, 3, 3, 1, 2, 4, 6, 7, 1, 2, 0]",quantile_0.75,27.0,,,,,
j10,19,1,proactive_quantile_0.75,60.0,True,29.0,0.040015220642089844,0.00011897087097167969,"[0, 0, 0, 6, 0, 15, 10, 21, 2, 19, 15, 29]","[0, 4, 2, 2, 1, 2, 5, 7, 7, 1, 4, 0]",quantile_0.75,28.0,,,,,
j10,19,1,proactive_quantile_0.75,60.0,True,29.0,0.040015220642089844,0.00012087821960449219,"[0, 0, 0, 6, 0, 15, 10, 21, 2, 19, 15, 29]","[0, 6, 3, 3, 1, 1, 2, 6, 9, 1, 4, 0]",quantile_0.75,25.0,,,,,
j10,19,1,proactive_quantile_0.75,60.0,False,inf,0.040015220642089844,inf,"[0, 0, 0, 6, 0, 15, 10, 21, 2, 19, 15, 29]","[0, 7, 2, 3, 1, 2, 4, 5, 10, 2, 5, 0]",quantile_0.75,29.0,,,,,
j10,19,1,proactive_quantile_0.75,60.0,True,29.0,0.040015220642089844,0.00010585784912109375,"[0, 0, 0, 6, 0, 15, 10, 21, 2, 19, 15, 29]","[0, 5, 4, 3, 1, 1, 4, 6, 9, 2, 4, 0]",quantile_0.75,29.0,,,,,
j10,19,1,proactive_quantile_0.75,60.0,False,inf,0.040015220642089844,inf,"[0, 0, 0, 6, 0, 15, 10, 21, 2, 19, 15, 29]","[0, 7, 5, 3, 1, 2, 5, 5, 6, 1, 4, 0]",quantile_0.75,28.0,,,,,
j10,19,1,proactive_quantile_0.75,60.0,False,inf,0.040015220642089844,inf,"[0, 0, 0, 6, 0, 15, 10, 21, 2, 19, 15, 29]","[0, 4, 5, 2, 1, 3, 4, 5, 6, 2, 5, 0]",quantile_0.75,29.0,,,,,
j10,19,1,proactive_quantile_0.9,60.0,True,30.0,0.03933000564575195,0.00011801719665527344,"[0, 0, 0, 7, 0, 17, 12, 22, 2, 20, 15, 30]","[0, 6, 6, 2, 1, 2, 5, 5, 6, 2, 2, 0]",quantile_0.9,28.0,,,,,
j10,19,1,proactive_quantile_0.9,60.0,True,30.0,0.03933000564575195,0.00011777877807617188,"[0, 0, 0, 7, 0, 17, 12, 22, 2, 20, 15, 30]","[0, 7, 3, 4, 1, 1, 4, 7, 10, 2, 2, 0]",quantile_0.9,28.0,,,,,
