,instance_folder,instance_id,noise_factor,sample,sample_durations,time_limit,solve_time,solver_status,obj_gap,obj_value
98,j20,10,2,8,"[0, 7, 8, 6, 2, 3, 2, 2, 1, 3, 1, 6, 9, 2, 6, 1, 10, 4, 2, 2, 5, 0]",60,0.003,Infeasible,,
99,j20,10,2,9,"[0, 5, 14, 7, 6, 1, 4, 1, 2, 2, 1, 6, 6, 1, 6, 1, 6, 1, 2, 2, 2, 0]",60,0.003,Infeasible,,
100,j20,11,2,0,"[0, 2, 4, 15, 10, 10, 4, 2, 3, 1, 2, 5, 8, 6, 5, 7, 3, 6, 7, 8, 4, 0]",60,0.003,Infeasible,,
101,j20,11,2,1,"[0, 1, 4, 15, 12, 3, 5, 2, 4, 7, 1, 2, 2, 8, 8, 7, 2, 2, 5, 4, 10, 0]",60,0.003,Infeasible,,
102,j20,11,2,2,"[0, 1, 6, 6, 12, 10, 1, 3, 10, 4, 7, 2, 2, 4, 5, 9, 2, 12, 5, 3, 5, 0]",60,0.003,Infeasible,,
103,j20,11,2,3,"[0, 2, 3, 3, 6, 10, 8, 3, 10, 3, 2, 1, 7, 2, 4, 8, 8, 6, 4, 8, 11, 0]",60,0.037,Optimal,0.0,53.0
104,j20,11,2,4,"[0, 2, 7, 11, 2, 3, 3, 2, 10, 4, 5, 3, 7, 7, 1, 9, 8, 9, 2, 4, 5, 0]",60,0.009,Optimal,0.0,48.0
105,j20,11,2,5,"[0, 1, 1, 9, 6, 6, 7, 3, 14, 6, 4, 1, 4, 5, 4, 5, 5, 9, 6, 7, 11, 0]",60,0.003,Infeasible,,
106,j20,11,2,6,"[0, 1, 5, 5, 2, 11, 8, 1, 4, 2, 1, 3, 5, 5, 1, 2, 9, 4, 4, 4, 4, 0]",60,0.028,Optimal,0.0,40.0
107,j20,11,2,7,"[0, 1, 5, 10, 4, 11, 7, 1, 12, 3, 7, 3, 8, 8, 1, 7, 6, 3, 3, 7, 8, 0]",60,0.05,Optimal,0.0,50.0
108,j20,11,2,8,"[0, 1, 7, 8, 3, 3, 2, 2, 7, 3, 1, 1, 2, 6, 8, 1, 4, 11, 2, 7, 6, 0]",60,0.03,Optimal,0.0,41.0
109,j20,11,2,9,"[0, 2, 7, 11, 10, 10, 3, 2, 8, 5, 6, 1, 6, 1, 6, 2, 2, 10, 7, 10, 2, 0]",60,0.003,Infeasible,,
110,j20,12,2,0,"[0, 2, 14, 1, 10, 2, 6, 3, 3, 2, 1, 2, 5, 7, 2, 3, 7, 7, 6, 3, 1, 0]",60,0.003,Infeasible,,
111,j20,12,2,1,"[0, 1, 13, 1, 4, 5, 8, 10, 12, 2, 2, 3, 1, 7, 2, 2, 12, 8, 8, 6, 1, 0]",60,0.003,Infeasible,,
112,j20,12,2,2,"[0, 2, 4, 1, 3, 1, 9, 6, 13, 10, 1, 3, 4, 7, 2, 2, 12, 4, 5, 1, 2, 0]",60,0.003,Infeasible,,
113,j20,12,2,3,"[0, 1, 13, 1, 2, 6, 4, 12, 5, 1, 1, 2, 3, 8, 2, 3, 12, 1, 7, 2, 2, 0]",60,0.003,Infeasible,,
114,j20,12,2,4,"[0, 3, 10, 2, 6, 4, 6, 12, 6, 7, 1, 1, 3, 8, 2, 8, 10, 2, 8, 4, 1, 0]",60,0.003,Infeasible,,
115,j20,12,2,5,"[0, 3, 3, 1, 9, 2, 2, 6, 3, 9, 2, 2, 5, 6, 1, 3, 14, 6, 4, 8, 2, 0]",60,0.003,Infeasible,,
116,j20,12,2,6,"[0, 1, 14, 1, 6, 7, 5, 10, 10, 5, 2, 1, 5, 3, 1, 6, 13, 8, 5, 2, 2, 0]",60,0.003,Infeasible,,
117,j20,12,2,7,"[0, 2, 11, 3, 6, 1, 2, 15, 12, 9, 1, 2, 3, 8, 1, 3, 9, 1, 2, 3, 1, 0]",60,0.002,Infeasible,,
118,j20,12,2,8,"[0, 3, 5, 1, 8, 6, 2, 13, 7, 7, 1, 3, 2, 3, 2, 6, 7, 3, 1, 8, 2, 0]",60,0.003,Infeasible,,
119,j20,12,2,9,"[0, 1, 12, 2, 9, 1, 10, 6, 12, 2, 1, 2, 5, 5, 2, 7, 11, 4, 8, 1, 2, 0]",60,0.003,Infeasible,,
120,j20,13,2,0,"[0, 6, 14, 10, 8, 2, 4, 2, 1, 3, 3, 8, 5, 8, 2, 3, 1, 8, 3, 5, 4, 0]",60,0.008,Optimal,0.0,47.0
121,j20,13,2,1,"[0, 11, 15, 4, 5, 2, 2, 3, 1, 9, 11, 8, 2, 3, 1, 2, 1, 11, 6, 4, 3, 0]",60,0.008,Optimal,0.0,55.0
122,j20,13,2,2,"[0, 10, 11, 9, 4, 3, 2, 2, 4, 7, 10, 2, 4, 12, 1, 1, 2, 6, 2, 3, 1, 0]",60,0.008,Optimal,0.0,54.0
123,j20,13,2,3,"[0, 5, 12, 4, 8, 3, 2, 1, 2, 6, 9, 8, 5, 7, 2, 4, 3, 11, 1, 3, 3, 0]",60,0.015,Optimal,0.0,50.0
124,j20,13,2,4,"[0, 8, 10, 11, 8, 1, 3, 3, 1, 11, 9, 8, 2, 3, 2, 4, 1, 11, 6, 7, 5, 0]",60,0.03,Optimal,0.0,56.0
125,j20,13,2,5,"[0, 6, 9, 4, 5, 2, 4, 2, 1, 14, 6, 5, 5, 11, 1, 3, 1, 13, 5, 2, 2, 0]",60,0.009,Optimal,0.0,52.0
